time, AccX, AccY, AccZ, EulerX, EulerY, EulerZ
09:39:26:180,-0.040,-0.030,-0.300,-106.050,-66.920,2.160
09:39:26:212,-0.040,-0.030,-0.300,-106.050,-66.920,2.160
09:39:26:246,-0.010,0.060,-0.260,-106.620,-69.600,1.380
09:39:26:279,-0.010,0.060,-0.260,-106.620,-69.600,1.380
09:39:26:312,-0.010,-0.040,-0.330,-106.290,-71.470,-0.650
09:39:26:345,0.010,0.050,-0.330,-109.750,-70.900,0.370
09:39:26:379,0.010,0.050,-0.330,-109.750,-70.900,0.370
09:39:26:412,0.010,0.050,-0.400,-110.640,-77.550,0.420
09:39:26:445,0.010,0.050,-0.400,-110.640,-77.550,0.420
09:39:26:479,0.040,0.070,-0.410,-114.710,-79.960,-1.260
09:39:26:512,0.050,0.090,-0.420,-115.720,-80.000,-2.270
09:39:26:545,0.050,0.090,-0.420,-115.720,-80.000,-2.270
09:39:26:579,0.060,0.060,-0.470,-115.730,-83.330,-3.040
09:39:26:612,0.060,0.060,-0.470,-115.730,-83.330,-3.040
09:39:26:645,0.060,0.080,-0.500,-118.550,-84.830,-3.300
09:39:26:679,0.010,0.080,-0.530,-119.960,-85.830,-3.570
09:39:26:712,0.030,0.150,-0.540,-121.580,-87.060,-0.160
09:39:26:745,0.030,0.150,-0.540,-121.580,-87.060,-0.160
09:39:26:779,0.030,0.150,-0.540,-121.580,-87.060,-0.160
09:39:26:812,0.040,0.130,-0.600,-121.390,-89.810,-1.110
09:39:26:845,0.040,0.130,-0.600,-121.390,-89.810,-1.110
09:39:26:879,0.030,0.100,-0.620,-126.640,-90.190,-2.560
09:39:26:912,0.060,0.110,-0.600,-125.360,-91.150,-1.010
09:39:26:945,0.060,0.110,-0.600,-125.360,-91.150,-1.010
09:39:26:978,0.020,0.130,-0.640,-124.960,-92.360,-3.070
09:39:27:012,0.020,0.130,-0.640,-124.960,-92.360,-3.070
09:39:27:045,0.030,0.120,-0.640,-127.760,-92.950,-0.290
09:39:27:078,0.020,0.160,-0.680,-127.170,-92.740,-1.300
09:39:27:112,0.010,0.140,-0.690,-130.170,-94.620,-0.770
09:39:27:145,0.010,0.140,-0.690,-130.170,-94.620,-0.770
09:39:27:178,0.010,0.140,-0.690,-130.170,-94.620,-0.770
09:39:27:212,-0.010,0.120,-0.770,-127.410,-95.690,-0.320
09:39:27:245,-0.010,0.120,-0.770,-127.410,-95.690,-0.320
09:39:27:278,-0.020,0.200,-0.730,-131.500,-96.000,0.710
09:39:27:311,-0.040,0.160,-0.720,-132.700,-96.470,1.330
09:39:27:344,-0.040,0.160,-0.720,-132.700,-96.470,1.330
09:39:27:378,0.000,0.240,-0.740,-130.170,-96.420,1.900
09:39:27:411,0.000,0.240,-0.740,-130.170,-96.420,1.900
